technique_name,trigger_situation,application_method,effectiveness_rating,training_required
verbal_de_escalation,agitation_or_anger,Calm tone clear communication active listening,high,moderate_training
physical_distance,threatening_behavior,Maintain safe distance avoid cornering,high,minimal_training
environmental_modification,overstimulation,Reduce noise lights remove triggers,medium,minimal_training
breathing_techniques,panic_anxiety,Guide deep breathing exercises,high,minimal_training
grounding_exercises,dissociation,5_4_3_2_1 sensory grounding,high,minimal_training
validation_techniques,emotional_distress,Acknowledge feelings without judgment,high,moderate_training
distraction_methods,rumination,Redirect attention to neutral topics,medium,minimal_training
time_out_protocols,escalating_conflict,Provide space for cooling down,medium,minimal_training
reality_orientation,psychosis,Gentle reality checking without confrontation,high,advanced_training
empathy_statements,emotional_crisis,Reflect understanding of feelings,high,moderate_training
choice_offering,powerlessness,Provide limited meaningful choices,medium,minimal_training
normalization,shame_guilt,Reduce stigma around mental health,medium,moderate_training
hope_instillation,despair,Focus on temporary nature of crisis,high,moderate_training
safety_reassurance,fear_anxiety,Emphasize current safety measures,high,minimal_training
boundary_setting,aggressive_behavior,Clear firm respectful limits,high,moderate_training
crisis_contracting,suicidal_ideation,Agreement to seek help before acting,high,advanced_training
support_activation,isolation,Connect with trusted individuals,high,minimal_training
resource_provision,helplessness,Provide immediate access to help,high,minimal_training
crisis_planning,recurring_crises,Develop personalized crisis response,high,advanced_training
sensory_intervention,overwhelm,Provide sensory tools or comfort items,medium,minimal_training
