topic,description,key_information,strategies,considerations
Full Retirement Age,Age for full benefits,66-67 depending on birth year,Delay benefits for higher payments,Consider life expectancy
Early Retirement,Benefits at 62,Reduced by 25-30%,Take early if needed, permanent reduction
Delayed Retirement,Benefits after FRA,8% increase per year,Delay until 70 for maximum,Consider life expectancy
Spousal Benefits,Benefits for spouse,50% of worker's benefit,Coordinate claiming strategies,Survivor benefits available
Survivor Benefits,Benefits after death,100% of worker's benefit,Consider survivor needs,File within 2 years
Earnings Test,Working while collecting,Reduced benefits if under FRA,Consider work plans,Test ends at FRA
Taxation,Income tax on benefits,Up to 85% taxable,Consider tax bracket,Combined income threshold
Windfall Elimination,Government pension offset,Reduced benefits,Consider other pensions,Applies to government workers
File and Suspend,Claiming strategy,Claim then suspend,Coordinate with spouse,Strategy limited after 2016
Restricted Application,Claiming strategy,Claim spousal only,Maximize benefits,Strategy limited after 2016
COLA,Cost of living adjustment,Annual inflation adjustment,Plan for increases,Not guaranteed
Medicare,Health insurance at 65,Part A, B, C, D available,Enroll on time,Penalties for late enrollment
Medicare Premiums,Part B and D costs,Income-based premiums,Consider income planning,IRMAA surcharges
Working While Collecting,Employment and benefits,Reduced benefits if under FRA,Consider work plans,Earnings test applies
Divorced Spouse Benefits,Benefits for ex-spouse,50% of worker's benefit,Marriage 10+ years,Remarriage affects benefits
Disabled Worker Benefits,Benefits for disabled,Available before 62,Apply if eligible,Strict medical criteria
