communication_type,protocol_name,key_components,response_time,escalation_path
internal_alert,Code_Crisis,Location_person_risk_level_immediate_needs,immediate,supervisor_notification
internal_alert,Code_Blue,Medical_emergency_location_response_team,immediate,medical_team_activation
internal_alert,Code_Red,Fire_emergency_evacuation_procedures,immediate,emergency_services
family_communication,Family_Notification_Protocol,Designated_contact_essential_information_safety_plan,within_1_hour,family_liaison
family_communication,Guardian_Consent_Protocol,Legal_guardian_contact_consent_documentation,within_30_minutes,legal_consultation
provider_communication,Provider_Consultation_Protocol,Current_status_intervention_plan_recommendations,within_2_hours,medical_consultation
provider_communication,Referral_Protocol,Referral_reason_urgency_level_follow_up_plan,within_24_hours,care_coordination
emergency_services,911_Protocol,Location_nature_of_emergency_safety_concerns,immediate,emergency_dispatch
emergency_services,Police_Protocol,Incident_description_safety_concerns_legal_requirements,immediate,law_enforcement
emergency_services,Ambulance_Protocol,Medical_status_vital_signs_transport_needs,immediate,medical_transport
mandatory_reporting,Child_Abuse_Reporting,Incident_details_child_information_immediate_risk,immediate,child_protective_services
mandatory_reporting,Elder_Abuse_Reporting,Incident_details_elder_information_immediate_risk,immediate,adult_protective_services
mandatory_reporting,Duty_to_Warn_Protocol,Identified_victim_immediate_threat_warning_delivery,immediate,legal_consultation
crisis_hotline,Hotline_Referral_Protocol,Current_status_safety_plan_hotline_contact,within_30_minutes,crisis_specialist
crisis_hotline,Follow_up_Protocol,Post_crisis_status_safety_plan_compliance,within_24_hours,crisis_coordinator
legal_communication,Legal_Hold_Protocol,Legal_basis_duration_requirements_documentation,immediate,legal_consultation
legal_communication,Court_Communication_Protocol,Court_orders_requirements_compliance_status,within_24_hours,legal_liaison
media_communication,Media_Protocol,Designated_spokesperson_approved_messages_no_comment_policy,immediate,public_relations
media_communication,Social_Media_Protocol,Official_statements_fact_checking_approval_process,within_2_hours,communications_department
quality_assurance,Incident_Review_Protocol,Incident_summary_lessons_learned_improvement_plan,within_72_hours,quality_committee
quality_assurance,Peer_Review_Protocol,Case_review_peer_feedback_quality_improvement,within_1_week,peer_review_committee
