follow_up_component,care_element,implementation_timeline,effectiveness_rating,monitoring_frequency
immediate_follow_up,24_hour_check_in,Contact_within_24_hours_of_crisis_resolution,high_effectiveness,daily_monitoring
immediate_follow_up,Safety_plan_review,Review_and_update_safety_plan_within_24_hours,high_effectiveness,daily_monitoring
immediate_follow_up,Medication_adherence,Monitor_medication_compliance_side_effects,high_effectiveness,daily_monitoring
short_term_follow_up,Weekly_contact,Weekly_contact_for_first_month_post_crisis,high_effectiveness,weekly_monitoring
short_term_follow_up,Symptom_monitoring,Regular_assessment_of_symptom_severity,high_effectiveness,weekly_monitoring
short_term_follow_up,Support_system_engagement,Encourage_engagement_with_support_systems,medium_effectiveness,weekly_monitoring
medium_term_follow_up,Monthly_contact,Monthly_contact_for_months_2_6_post_crisis,medium_effectiveness,monthly_monitoring
medium_term_follow_up,Functional_assessment,Assessment_of_daily_functioning_quality_of_life,medium_effectiveness,monthly_monitoring
medium_term_follow_up,Treatment_adherence,Monitor_ongoing_treatment_attendance_compliance,medium_effectiveness,monthly_monitoring
long_term_follow_up,Quarterly_contact,Quarterly_contact_for_months_6_12_post_crisis,medium_effectiveness,quarterly_monitoring
long_term_follow_up,Relapse_prevention,Relapse_prevention_planning_early_intervention,high_effectiveness,quarterly_monitoring
long_term_follow_up,Recovery_assessment,Assessment_of_recovery_progress_goals,medium_effectiveness,quarterly_monitoring
family_involvement,Family_education,Educate_family_about_crisis_prevention_management,high_effectiveness,monthly_monitoring
family_involvement,Family_support,Provide_support_to_family_members,medium_effectiveness,monthly_monitoring
family_involvement,Family_communication,Improve_family_communication_crisis_management,medium_effectiveness,monthly_monitoring
care_coordination,Provider_communication,Coordinate_with_all_healthcare_providers,high_effectiveness,weekly_monitoring
care_coordination,Service_referrals,Ensure_appropriate_service_referrals_follow_up,high_effectiveness,monthly_monitoring
care_coordination,Resource_connection,Connect_with_community_resources_support_services,medium_effectiveness,monthly_monitoring
crisis_prevention,Trigger_identification,Identify_and_address_crisis_triggers,high_effectiveness,weekly_monitoring
crisis_prevention,Coping_skill_development,Develop_and_practice_coping_skills,high_effectiveness,weekly_monitoring
crisis_prevention,Early_intervention,Early_intervention_for_warning_signs,high_effectiveness,daily_monitoring
quality_assurance,Outcome_tracking,Track_crisis_outcomes_recovery_progress,high_effectiveness,monthly_monitoring
quality_assurance,Service_evaluation,Evaluate_effectiveness_of_crisis_intervention,medium_effectiveness,quarterly_monitoring
quality_assurance,Continuous_improvement,Implement_improvements_based_on_evaluation,medium_effectiveness,quarterly_monitoring
