legal_area,requirement_type,legal_obligation,compliance_standard,consequences_of_noncompliance
mandatory_reporting,Child_abuse_reporting,Report_suspected_child_abuse_neglect,within_24_hours,criminal_penalties
mandatory_reporting,Elder_abuse_reporting,Report_suspected_elder_abuse_neglect,within_24_hours,civil_penalties
mandatory_reporting,Domestic_violence_reporting,Report_domestic_violence_incidents,immediate,criminal_penalties
duty_to_warn,Tarasoff_duty,Protect_identified_victims_from_harm,immediate,legal_liability
duty_to_warn,Threat_assessment,Assess_and_document_threats_of_harm,immediate,legal_liability
duty_to_warn,Warning_delivery,Deliver_warnings_to_identified_victims,immediate,legal_liability
informed_consent,Treatment_consent,Obtain_informed_consent_for_treatment,prior_to_treatment,legal_liability
informed_consent,Information_sharing,Consent_for_information_sharing,prior_to_sharing,legal_liability
informed_consent,Capacity_assessment,Assess_decision_making_capacity,prior_to_consent,legal_liability
confidentiality,Privacy_protection,Protect_patient_confidentiality,always,legal_liability
confidentiality,Information_disclosure,Disclose_only_with_consent_or_legal_requirement,always,legal_liability
confidentiality,Data_security,Secure_storage_and_transmission_of_data,always,legal_liability
legal_holds,Involuntary_commitment,Legal_authority_for_involuntary_hold,immediate,legal_liability
legal_holds,Hold_duration,Maximum_duration_of_legal_hold,72_hours,legal_liability
legal_holds,Hold_review,Regular_review_of_hold_necessity,every_24_hours,legal_liability
guardianship,Guardian_consent,Obtain_guardian_consent_for_minors,prior_to_treatment,legal_liability
guardianship,Guardian_notification,Notify_guardians_of_crisis_events,within_24_hours,legal_liability
guardianship,Guardian_rights,Respect_guardian_rights_and_authority,always,legal_liability
documentation,Legal_documentation,Complete_accurate_legal_documentation,within_24_hours,legal_liability
documentation,Record_retention,Retain_records_for_required_period,7_years,legal_liability
documentation,Record_access,Provide_access_to_legal_records,upon_request,legal_liability
quality_assurance,Legal_compliance_monitoring,Monitor_compliance_with_legal_requirements,ongoing,legal_liability
quality_assurance,Legal_training,Provide_legal_training_to_staff,annually,legal_liability
quality_assurance,Legal_consultation,Consult_legal_experts_when_needed,as_needed,legal_liability
