signal,description,bullish_threshold,bearish_threshold,reliability,timeframe,notes
P/E Ratio,Price to earnings ratio,<15,>25,Medium,Long-term,Lower P/E suggests undervaluation
P/B Ratio,Price to book ratio,<1.5,>3,Medium,Long-term,Lower P/B suggests undervaluation
Dividend Yield,Annual dividend / stock price,>4%,<2%,Low,Medium-term,High yield may indicate value
Shiller P/E,Cyclically adjusted P/E,<20,>30,High,Long-term,Accounts for business cycles
Buffett Indicator,Market cap / GDP,<100%,>150%,High,Long-term,Warren Buffett's favorite metric
Fear & Greed Index,Market sentiment indicator,0-25 (Fear),75-100 (Greed),Medium,Short-term,CNN's sentiment gauge
VIX,Volatility index,<15,>30,Medium,Short-term,Fear index, contrarian indicator
RSI,Relative strength index,<30,>70,Medium,Short-term,Momentum oscillator
MACD,Moving average convergence divergence,Positive crossover,Negative crossover,Medium,Medium-term,Trend following
Moving Averages,Price vs moving averages,Price > 200-day MA,Price < 200-day MA,Medium,Medium-term,200-day is key level
Bond Yields,10-year Treasury yield,<3%,>5%,High,Medium-term,Inverse relationship with stocks
Yield Curve,10-year vs 2-year Treasury,Steep curve,Inverted curve,High,Long-term,Recession predictor
Money Supply,M2 growth rate,>8%,<2%,Medium,Long-term,Monetary policy indicator
Unemployment Rate,Job market health,<4%,>6%,High,Medium-term,Economic health indicator
Consumer Confidence,Consumer sentiment,>100,<50,Medium,Short-term,Spending indicator
